,datetime,eventid,accountname,clientaddr,servicename,processname,objectname,sharename,securityid
2086,2019-06-02T22:52:53.052Z,5140,dc$,fe80::408:e75b:6dd3:2c05,,,,\*\sysvol,s-1-5-18
2087,2019-06-02T22:52:53.567Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
2088,2019-06-02T22:52:53.567Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
2089,2019-06-02T22:52:53.567Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
2090,2019-06-02T22:53:11.227Z,4672,dc$,,,,,,
2091,2019-06-02T22:54:11.240Z,4672,dc$,,,,,,
2092,2019-06-02T22:55:11.253Z,4672,dc$,,,,,,
2093,2019-06-02T22:55:42.422Z,4672,dc$,,,,,,
2094,2019-06-02T22:55:42.422Z,5140,dc$,fe80::408:e75b:6dd3:2c05,,,,\*\sysvol,s-1-5-18
2095,2019-06-02T22:56:11.267Z,4672,dc$,,,,,,
2096,2019-06-02T22:56:27.225Z,4672,dc$,,,,,,
2097,2019-06-02T22:56:27.241Z,4672,dc$,,,,,,
2098,2019-06-02T22:57:11.280Z,4672,dc$,,,,,,
2099,2019-06-02T22:57:56.395Z,4672,dc$,,,,,,
2100,2019-06-02T22:57:56.395Z,4672,dc$,,,,,,
2101,2019-06-02T22:57:56.395Z,4672,dc$,,,,,,
2102,2019-06-02T22:57:56.395Z,4672,dc$,,,,,,
2103,2019-06-02T22:57:56.395Z,5140,dc$,fe80::408:e75b:6dd3:2c05,,,,\*\sysvol,s-1-5-18
2104,2019-06-02T22:57:56.941Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
2105,2019-06-02T22:57:56.941Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
2106,2019-06-02T22:57:56.941Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
2107,2019-06-02T22:58:11.293Z,4672,dc$,,,,,,
2108,2019-06-02T22:59:11.307Z,4672,dc$,,,,,,
2109,2019-06-02T22:59:11.322Z,4769,dc$,::1,,,,,
2110,2019-06-02T23:00:11.320Z,4672,dc$,,,,,,
2111,2019-06-02T23:00:53.736Z,5140,anonymous logon,10.0.19.109,,,,\*\ipc$,s-1-5-7
2112,2019-06-02T23:01:05.795Z,5140,anonymous logon,10.0.19.109,,,,\*\ipc$,s-1-5-7
2113,2019-06-02T23:01:11.333Z,4672,dc$,,,,,,
2114,2019-06-02T23:01:27.401Z,4672,dc$,,,,,,
2115,2019-06-02T23:01:27.417Z,4672,dc$,,,,,,
2116,2019-06-02T23:01:40.489Z,5140,dc$,fe80::408:e75b:6dd3:2c05,,,,\*\ipc$,s-1-5-20
2117,2019-06-02T23:02:11.346Z,4672,dc$,,,,,,
2118,2019-06-02T23:02:59.753Z,4672,dc$,,,,,,
2119,2019-06-02T23:02:59.753Z,4672,dc$,,,,,,
2120,2019-06-02T23:02:59.753Z,4672,dc$,,,,,,
2121,2019-06-02T23:02:59.753Z,4672,dc$,,,,,,
2122,2019-06-02T23:02:59.753Z,5140,dc$,fe80::408:e75b:6dd3:2c05,,,,\*\sysvol,s-1-5-18
2123,2019-06-02T23:03:00.268Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
2124,2019-06-02T23:03:00.268Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
2125,2019-06-02T23:03:00.268Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
2126,2019-06-02T23:03:11.360Z,4672,dc$,,,,,,
2127,2019-06-02T23:04:11.373Z,4672,dc$,,,,,,
2128,2019-06-02T23:05:11.386Z,4672,dc$,,,,,,
2129,2019-06-02T23:05:42.430Z,4672,dc$,,,,,,
2130,2019-06-02T23:05:42.430Z,5140,dc$,fe80::408:e75b:6dd3:2c05,,,,\*\ipc$,s-1-5-18
2131,2019-06-02T23:08:03.096Z,4672,dc$,,,,,,
2132,2019-06-02T23:08:03.096Z,4672,dc$,,,,,,
2133,2019-06-02T23:05:42.430Z,5140,dc$,fe80::408:e75b:6dd3:2c05,,,,\*\sysvol,s-1-5-18
2134,2019-06-02T23:06:11.400Z,4672,dc$,,,,,,
2135,2019-06-02T23:06:27.577Z,4672,dc$,,,,,,
2136,2019-06-02T23:06:27.593Z,4672,dc$,,,,,,
2137,2019-06-02T23:07:11.413Z,4672,dc$,,,,,,
2138,2019-06-02T23:08:03.096Z,4672,dc$,,,,,,
2139,2019-06-02T23:08:03.096Z,4672,dc$,,,,,,
2140,2019-06-02T23:08:03.096Z,5140,dc$,fe80::408:e75b:6dd3:2c05,,,,\*\ipc$,s-1-5-18
2141,2019-06-02T23:08:03.096Z,5140,dc$,fe80::408:e75b:6dd3:2c05,,,,\*\sysvol,s-1-5-18
2142,2019-06-02T23:08:03.611Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
2143,2019-06-02T23:08:03.611Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
2144,2019-06-02T23:08:03.611Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
2145,2019-06-02T23:08:11.426Z,4672,dc$,,,,,,
2146,2019-06-02T23:09:11.440Z,4672,dc$,,,,,,
2147,2019-06-02T23:10:11.453Z,4672,dc$,,,,,,
2148,2019-06-02T23:11:11.466Z,4672,dc$,,,,,,
2149,2019-06-02T23:11:27.737Z,4672,dc$,,,,,,
2150,2019-06-02T23:11:27.753Z,4672,dc$,,,,,,
2151,2019-06-02T23:12:11.480Z,4672,dc$,,,,,,
2152,2019-06-02T23:13:06.439Z,4672,dc$,,,,,,
2153,2019-06-02T23:13:06.439Z,4672,dc$,,,,,,
2154,2019-06-02T23:13:06.439Z,4672,dc$,,,,,,
2155,2019-06-02T23:13:06.439Z,4672,dc$,,,,,,
2156,2019-06-02T23:13:06.439Z,5140,dc$,fe80::408:e75b:6dd3:2c05,,,,\*\sysvol,s-1-5-18
2157,2019-06-02T23:13:06.953Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
2158,2019-06-02T23:13:06.953Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
2159,2019-06-02T23:13:06.953Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
2160,2019-06-02T23:13:11.493Z,4672,dc$,,,,,,
2161,2019-06-02T23:14:11.506Z,4672,dc$,,,,,,
2162,2019-06-02T23:14:11.522Z,4769,dc$,::1,,,,,
